fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 125445	-0.236205061255577	1484	735	6	5	9740000	69
20220408 125520	-0.316727227050001	1812	901	5	5	9875000	70
20220408 125613	-0.795426001593572	2487	1045	7	5	9969000	71
20220408 125644	-0.62144975736258	3995	1997	5	5	8637000	72
20220408 125718	-0.281247251027448	2586	502	5	5	10392000	73
20220408 125814	-0.285478794651727	2282	763	7	5	10205000	74
20220408 125910	-0.283115640712488	1981	578	13	5	10176000	75
20220408 130002	-0.410189651830564	2534	560	12	5	10038000	76
20220408 130030	-0.276191649026153	2511	1248	5	5	9363000	77
20220408 130113	-0.999825415322135	7235	1069	20	5	7982000	78
20220408 130159	-0.264103450125591	4015	1999	8	5	8637000	79
20220408 130245	-0.437323510783799	7997	1999	20	5	7886000	80
20220408 130325	-0.26146852221011	3009	750	5	5	10127000	81
20220408 130357	-0.283740272400641	1409	637	5	5	10922000	82
20220408 130525	-0.287616261523629	1363	675	9	5	9787000	83
20220408 130613	-0.959501177042358	2961	1480	3	5	7888000	84
20220408 130729	-0.284895097708236	625	307	5	5	10640000	85
20220408 130837	-0.552429492134419	1261	629	5	5	10921000	86
20220408 130949	-0.593318025889172	1242	621	5	5	10953000	87
20220408 131056	-0.576398475912749	759	376	5	5	10726000	88
20220408 131214	-0.582512175112682	1327	658	6	5	9858000	89
20220408 131315	-0.77847565201437	1270	634	5	5	10921000	90
20220408 131418	-0.871638136176375	5	1	5	5	8362000	91
20220408 131518	-0.731237208216505	1911	670	5	5	10593000	92
20220408 131613	-0.83158958423143	1797	665	5	5	10487000	93
20220408 131714	-0.999663484535926	8000	606	8	5	7886000	94
20220408 131821	-0.777205209829317	2959	1478	8	5	8881000	95
20220408 131910	-0.142501321772821	8000	2000	5	5	7886000	96
20220408 132017	-0.999604720159845	4001	1997	20	5	8637000	97
20220408 132120	-0.998436462311869	7862	2000	17	5	8135000	98
20220408 132200	0.0998255867741108	529	258	5	5	0	99
20220408 132328	-0.284977761340613	7980	2	13	5	7765000	100
20220408 132422	-0.626672690511633	1204	600	5	5	11070000	101
20220408 132607	-0.617304212163997	7997	2	20	5	7637000	102
20220408 132650	-0.9992796287293	6921	2000	4	5	8484000	103
20220408 132819	-0.999710796921808	5270	1	12	5	8754000	104
20220408 132936	-0.99992304414788	2023	822	20	5	9954000	105
20220408 143908	-0.999973181428667	2574	948	15	5	9999000	106
20220408 144103	-0.999874712099678	4228	258	20	5	9885000	107
20220408 144212	-0.272739169518153	3999	1999	18	5	8637000	108
20220408 144252	-0.480689367247231	1111	555	5	5	10897000	109
20220408 144403	-0.796110717268464	2795	727	20	5	10228000	110
20220408 144450	-0.505798795565659	397	198	4	5	9854000	111
20220408 144530	-0.999650470079054	4955	1074	5	5	9145000	112
20220408 144609	-0.76284860510692	1034	517	5	5	10881000	113
20220408 144708	-0.999901631614338	2233	730	8	5	10264000	114
20220408 144752	-0.16068713673299	5740	1587	8	5	8510000	115
20220408 144854	-0.633313798968069	4304	738	20	5	9547000	116
