Feature	Gain	Cover	Frequency
Visa_msaldototal	0.00977604410162074	0.00799522522427083	0.00945410186032327
ccomisiones_otras	0.00850694632950556	0.00766234582792613	0.00919269812224982
mtarjeta_visa_debitos_automaticos	0.00832078309286486	0.00486827926252431	0.00836491961835054
cproductos	0.006509241049447	0.00604269852042558	0.00727573737637782
ctarjeta_visa_trx	0.00610744040451014	0.00334892774682337	0.00444386354724873
mpagomiscuentas	0.00542731440360987	0.00478517025692323	0.00461813270596436
Master_mpagospesos	0.00515689138869764	0.00565209183704158	0.00379035420206509
mautoservicio	0.00507165072865262	0.00472619576474771	0.00684006447958872
mcuenta_debitos_automaticos	0.00489520422783523	0.0043960203736291	0.00487953644403782
Master_mlimitecompra	0.00441265240865342	0.00513714352322049	0.00518450747179018
ctransferencias_recibidas	0.00440566935190855	0.00281225295830235	0.00374678691238618
ctarjeta_debito	0.00423353834404916	0.00529933892358161	0.00579444952729491
Visa_mlimitecompra	0.00420821917720384	0.00608173615635149	0.00562018036857927
Visa_mpagado	0.00397848963785369	0.00407482071365707	0.00418245980917527
Visa_cconsumos	0.00379798214612761	0.00300426496824981	0.00531520934082691
mcomisiones_mantenimiento	0.00365971199663907	0.00362330136058668	0.00344181588463382
ccaja_ahorro	0.00334097994419176	0.00371294581323122	0.00200409532522982
mextraccion_autoservicio	0.00279250382708762	0.00507332185983686	0.00235263364266109
cmobile_app_trx	0.00274516761806269	0.00195219734034668	0.00278830653945018
ctarjeta_debito_trx	0.0026690274598215	0.00237365248539648	0.00313684485688145
Master_fultimo_cierre	0.00246117066131766	0.00267788647032985	0.00296257569816582
thomebanking	0.00238339900275253	0.00141485346024288	0.00239620093234
Visa_mconsumosdolares	0.0023740104621837	0.00236442109447129	0.00326754672591818
Master_msaldototal	0.0022606954542601	0.00207859691683958	0.00178625887683527
ccuenta_debitos_automaticos	0.0018759105093119	0.00194146308450665	0.00121988411100945
cseguro_accidentes_personales	0.00187125805502334	0.00292727337140555	0.00165555700779854
Master_msaldopesos	0.00175831914303027	0.00320609339239966	0.00217836448394545
Visa_fultimo_cierre	0.00172475784700316	0.00286404133778162	0.00278830653945018
matm	0.00161171317820976	0.00260272710189901	0.00200409532522982
mplazo_fijo_dolares	0.00159380691489604	0.00235242005594442	0.000697076634862545
ccallcenter_trx	0.00157645592330571	0.00357211873355584	0.00148128784908291
cpagomiscuentas	0.00151600364936327	0.00099169276504834	0.00126345140068836
Master_mconsumospesos	0.00151444113498774	0.00190544614947854	0.00200409532522982
ctransferencias_emitidas	0.00132306133524222	0.00109671365626988	0.00174269158715636
Master_mpagominimo	0.0013001729388938	0.00102721910969046	0.00130701869036727
mdescubierto_preacordado	0.00126042780120272	0.00385546347198322	0.00248333551169782
mtarjeta_master_consumo	0.00125143379930781	0.00158340695807131	0.000784211214220363
catm_trx	0.00122235893146651	0.00296001624899849	0.00100204766261491
Visa_mpagosdolares	0.0011323443721214	0.000899909752904283	0.00126345140068836
ctarjeta_visa_debitos_automaticos	0.00109734807732785	0.00124383664589885	0.00182982616651418
ccaja_seguridad	0.00105626922344844	0.00221946084837494	0.000697076634862545
ccomisiones_mantenimiento	0.000791561076368181	0.000486396183680343	0.00108918224197273
Master_cconsumos	0.000701250517606715	0.00106493468513956	0.000653509345183636
internet	0.000689592718022544	0.00337319239337948	0.00165555700779854
Visa_delinquency	0.000595837853766996	0.000478257680727708	0.000522807476146909
mtarjeta_visa_descuentos	0.000550891267290906	0.00193069082518601	0.00130701869036727
Master_mpagosdolares	0.000543438095841894	0.000197744777415727	0.000304971027752364
ccajas_consultas	0.000537713912030326	0.00846300200569588	0.00209122990458764
cprestamos_personales	0.000517606778060061	0.00299189656274376	0.00108918224197273
tcallcenter	0.000481745017595948	0.000632345671893055	0.000479240186468
Visa_msaldodolares	0.000444999719808987	0.000610273711005805	0.000392105607110182
ctarjeta_master_trx	0.000417550338940049	0.000555496876006218	0.000392105607110182
cextraccion_autoservicio	0.000366776469171366	0.000539117375865376	0.000479240186468
matm_other	0.000316395265905056	0.000337511214496036	0.000435672896789091
ccajas_trx	0.00026158092350848	0.00225845702595837	0.000697076634862545
Master_mconsumosdolares	0.000247945531969618	8.15289821043994e-05	0.000304971027752364
mttarjeta_master_debitos_automaticos	0.000197570800019143	0.000327693648673026	0.000217836448394545
Master_status	0.000185778763067765	0.000130897806651804	0.000261403738073454
cseguro_vida	0.000160281063892147	0.000382549945495696	0.000174269158715636
Master_mpagado	0.000141855977580454	0.000422337286448092	0.000217836448394545
cseguro_vivienda	0.000138897342864484	0.000841687268996491	0.000261403738073454
Visa_Finiciomora	0.00013256719206908	0.000207018778304021	8.71345793578182e-05
cforex	0.00011035466038359	9.90140380446648e-05	8.71345793578182e-05
ctarjeta_master_debitos_automaticos	7.5764099260677e-05	0.000144893452100137	4.35672896789091e-05
ctarjeta_master	7.46442644042022e-05	6.68158770070647e-05	8.71345793578182e-05
Visa_status	2.05049431829493e-05	1.58866065135983e-05	4.35672896789091e-05
Master_delinquency	1.28587217144675e-05	1.61917859790643e-05	4.35672896789091e-05
