fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 103255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0179080985714726	0.958232530045788	7372	1024	0.0163018271961863	12958000	39
20220423 103815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1032	TRUE	0.0101168473106055	0.206429229676894	4112	286	0.0170127724975071	13336000	40
20220423 104133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	741	TRUE	0.0101223582500335	0.809679080024994	7996	16	0.0189986728660115	12859000	41
20220423 104350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	418	TRUE	0.0159810459559532	0.516783580105194	5217	17	0.0171755780626957	13533000	42
20220423 104428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	0.0843093594770017	0.442110040952797	7998	879	0.0178676960201524	13316000	43
20220423 104609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	291	TRUE	0.030221862523042	0.554472540103067	4906	609	0.0163222972576253	13321000	44
20220423 104710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.0471644754826212	0.419428545913701	2872	498	0.0147250021026603	13060000	45
20220423 104739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.0989697852943119	0.878020293913503	5792	967	0.0141889681811113	12754000	46
20220423 104830	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0624106668727438	0.46761793116584	7517	736	0.0151170599574672	13352000	47
20220423 104939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	0.0744920156124634	0.251271149058399	5361	1023	0.0144420029139905	13266000	48
20220423 105253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	688	TRUE	0.0100604400994791	0.765557115008755	4346	999	0.018734997287256	13452000	49
20220423 105337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0426322348232631	0.989172133835844	5324	512	0.015218014283332	12736000	50
20220423 105417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	0.0691963691961209	0.447849940752558	4722	842	0.0169210865265389	13625000	51
20220423 105516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0402737610658301	0.389830137498793	5152	1012	0.0167000960158511	13357000	52
20220423 105544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.11931721497206	0.609124889706224	6879	691	0.0183895903008785	13017000	53
20220423 105619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	0.0859808316945635	0.419247111810454	4975	700	0.0155150492756299	13259000	54
20220423 105644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.128311498425924	0.758842805855089	3877	839	0.0142674059434358	13292000	55
20220423 105741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0366617011908874	0.473352520229302	4369	16	0.014739517329114	13392000	56
20220423 110522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.0100453876772505	0.506812206814444	42	471	0.0182054656787039	6864000	57
20220423 110937	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	723	TRUE	0.0100669385001408	0.506041937564902	5563	859	0.0184931917412729	13588000	58
20220423 111319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	480	TRUE	0.0100520191339856	0.573868820836312	3916	352	0.014276832088933	13585000	59
20220423 111638	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	566	TRUE	0.0102198662528168	0.618189915625495	3726	1011	0.0168962656182912	13898000	60
20220423 111710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.0874173455027674	0.692676417484845	7995	1013	0.0152575034912918	13119000	61
20220423 111737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.149874143769986	0.504082225804333	5201	1012	0.0165744548200361	13021000	62
20220423 111801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.205408593048905	0.523539042097696	5550	501	0.0139723759901078	12820000	63
20220423 111818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.296348023932927	0.828264523008973	3660	1021	0.025485506439955	11356000	64
20220423 112146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1107	TRUE	0.0101619118102453	0.837736875359083	7999	861	0.0241375008843205	12053000	65
