fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220423 231905	0	0	0	1	auto	depthwise	256	0	1	0.207135499941767	0.266609203368425	9	19	0.020891472188426	16	11235000	20
20220423 233347	0	0	0	1	auto	depthwise	256	0	1	0.0101546067742326	0.884297353546608	10	2	0.00840504605049349	152	11082000	21
20220424 001816	0	0	0	1	auto	depthwise	256	0	1	0.0101434941891504	0.34436774648159	10	20	0.0163300985009555	461	13294000	22
20220424 010125	0	0	0	1	auto	depthwise	256	0	1	0.0102579511396048	0.443185173057751	6	16	0.0149091587751984	247	13605000	23
20220424 021252	0	0	0	1	auto	depthwise	256	0	1	0.0100108402775644	0.66984034215062	6	29	0.0159899455545152	190	12774000	24
20220424 023236	0	0	0	1	auto	depthwise	256	0	1	0.0100603437566058	0.203847964597408	6	14	0.0113577602986993	174	12884000	25
20220424 023930	0	0	0	1	auto	depthwise	256	0	1	0.0590159173722211	0.473316963884201	9	9	0.0151520751087957	49	13054000	26
20220424 032522	0	0	0	1	auto	depthwise	256	0	1	0.0100240002705848	0.528741765590487	8	16	0.0188917651976567	260	12635000	27
20220424 040949	0	0	0	1	auto	depthwise	256	0	1	0.010038769397907	0.449076357152385	6	21	0.0139403938942336	204	13415000	28
20220424 044509	0	0	0	1	auto	depthwise	256	0	1	0.0102092904324922	0.416318231179655	3	2	0.0146853649655276	2460	13114000	29
20220424 051002	0	0	0	1	auto	depthwise	256	0	1	0.0105954134616564	0.205957708561332	2	18	0.0153263567981335	162	12569000	30
20220424 053005	0	0	0	1	auto	depthwise	256	0	1	0.0184732311625397	0.499740688080376	5	11	0.0145792348342114	106	13192000	31
20220424 053204	0	0	0	1	auto	depthwise	256	0	1	0.122765922743681	0.273907090132264	6	2	0.016356580604519	122	13147000	32
20220424 054545	0	0	0	1	auto	depthwise	256	0	1	0.0106456058390156	0.322484641184282	6	2	0.0160595475361238	865	13245000	33
20220424 061642	0	0	0	1	auto	depthwise	256	0	1	0.0108891364048909	0.402456407327218	7	28	0.00833758184249528	52	12395000	34
20220424 062739	0	0	0	1	auto	depthwise	256	0	1	0.0490108259698383	0.393785810899477	6	17	0.0148941192662541	67	12878000	35
20220424 062932	0	0	0	1	auto	depthwise	256	0	1	0.128702645737277	0.322186454092573	10	2	0.0155145032022422	94	13472000	36
20220424 063043	0	0	0	1	auto	depthwise	256	0	1	0.233336956491839	0.219234478159451	10	2	0.0212276422722401	67	12012000	37
20220424 063250	0	0	0	1	auto	depthwise	256	0	1	0.154683716563238	0.421816269681905	10	2	0.0172085464336275	94	13276000	38
20220424 063458	0	0	0	1	auto	depthwise	256	0	1	0.18216084834141	0.347604461330695	10	4	0.00835127404573302	45	11725000	39
20220424 065542	0	0	0	1	auto	depthwise	256	0	1	0.0100270525180917	0.379231409439095	2	2	0.0236947866588459	1321	12580000	40
20220424 071751	0	0	0	1	auto	depthwise	256	0	1	0.0100352140797612	0.372119023388581	10	6	0.015377397054346	411	13782000	41
20220424 074423	0	0	0	1	auto	depthwise	256	0	1	0.0101356499290351	0.455571676661214	0	5	0.0171292757894261	481	13446000	42
20220424 081740	0	0	0	1	auto	depthwise	256	0	1	0.0100043025357238	0.395398697988797	10	10	0.0138089568039512	434	13519000	43
20220424 090355	0	0	0	1	auto	depthwise	256	0	1	0.0101065781535813	0.999893150315079	0	3	0.0245035555995176	967	12159000	44
20220424 110948	0	0	0	1	auto	depthwise	256	0	1	0.0101527417740752	0.949637437252505	10	22	0.0144100172121723	242	13245000	45
20220424 114834	0	0	0	1	auto	depthwise	256	0	1	0.0100105549453447	0.489806898878468	10	17	0.0136786245162907	193	13451000	46
20220424 134623	0	0	0	1	auto	depthwise	256	0	1	0.0100413502053988	0.99930325287784	0	22	0.0142781967807527	220	3949000	47
20220424 144804	0	0	0	1	auto	depthwise	256	0	1	0.0106134086711489	0.986823862563643	10	2	0.0226767135832652	2239	12749000	48
20220424 160701	0	0	0	1	auto	depthwise	256	0	1	0.0100263359426796	0.802852626432516	10	30	0.0154179485330745	321	13374000	49
20220424 161254	0	0	0	1	auto	depthwise	256	0	1	0.077576527852229	0.61602407578961	1	2	0.0182360034110091	239	12967000	50
20220424 161534	0	0	0	1	auto	depthwise	256	0	1	0.299895849592353	0.447864864645238	0	2	0.0165820607927955	119	12178000	51
20220424 165146	0	0	0	1	auto	depthwise	256	0	1	0.0100775957348738	0.223087064701659	0	7	0.00836310921854117	1027	13418000	52
20220424 171138	0	0	0	1	auto	depthwise	256	0	1	0.0104277626349779	0.270748579629942	10	3	0.0169856729118182	1057	13554000	53
20220424 181112	0	0	0	1	auto	depthwise	256	0	1	0.0101349125240272	0.715739508797207	10	24	0.01269996965238	186	13504000	54
20220424 190638	0	0	0	1	auto	depthwise	256	0	1	0.0102819087258397	0.999983825949344	6	2	0.0218277689416724	2112	12633000	55
20220424 192946	0	0	0	1	auto	depthwise	256	0	1	0.0100019778704725	0.400907726146742	1	7	0.00840198142601916	105	12510000	56
20220424 200314	0	0	0	1	auto	depthwise	256	0	1	0.0102949403755548	0.20008409913894	0	4	0.0154187909584427	1599	13066000	57
20220424 210341	0	0	0	1	auto	depthwise	256	0	1	0.014189655305609	0.823864706096016	10	19	0.0161937576046798	252	13250000	58
20220424 215050	0	0	0	1	auto	depthwise	256	0	1	0.0102906334199718	0.458752319283644	10	30	0.0151316145204144	193	13369000	59
20220424 220531	0	0	0	1	auto	depthwise	256	0	1	0.0330241721284004	0.579818416484049	0	2	0.0233295790119925	604	12417000	60
20220424 221527	0	0	0	1	auto	depthwise	256	0	1	0.299925081226776	0.926034481955254	10	28	0.0150786596792254	9	11289000	61
20220424 224353	0	0	0	1	auto	depthwise	256	0	1	0.0102672603699802	0.427459362529403	10	3	0.0168582923146986	965	13648000	62
20220424 234250	0	0	0	1	auto	depthwise	256	0	1	0.0100701082342085	0.617195983864262	10	27	0.0143528146447405	236	13386000	63
20220425 000524	0	0	0	1	auto	depthwise	256	0	1	0.0100207389360207	0.326309146207911	10	7	0.0163638327151695	412	13421000	64
20220425 002517	0	0	0	1	auto	depthwise	256	0	1	0.0100989647227719	0.200636511825177	10	2	0.0146425037258318	2145	13332000	65
20220425 015051	0	0	0	1	auto	depthwise	256	0	1	0.0101498408288104	0.999043768814753	10	29	0.021432269588222	231	12105000	66
20220425 022234	0	0	0	1	auto	depthwise	256	0	1	0.01003213908199	0.912044019513742	4	2	0.0253136718241052	862	11996000	67
20220425 023948	0	0	0	1	auto	depthwise	256	0	1	0.0243666134121447	0.249665610399277	0	14	0.0095482030805321	81	6111000	68
20220425 024627	0	0	0	1	auto	depthwise	256	0	1	0.170099559480266	0.563562014936048	0	28	0.00833392063175655	1	3695000	69
20220425 033834	0	0	0	1	auto	depthwise	256	0	1	0.0102809410512588	0.626329471981886	4	17	0.00834068054161094	103	12546000	70
20220425 040705	0	0	0	1	auto	depthwise	256	0	1	0.0101021575182504	0.420611236192548	6	9	0.0142938557092326	257	13332000	71
20220425 044518	0	0	0	1	auto	depthwise	256	0	1	0.010096850464655	0.547539560579171	9	21	0.00838571682093594	75	12313000	72
20220425 054208	0	0	0	1	auto	depthwise	256	0	1	0.0176365298962523	0.940031288768102	0	5	0.00833358253882434	909	12600000	73
20220425 063528	0	0	0	1	auto	depthwise	256	0	1	0.0100189977471981	0.789767782054404	10	14	0.0137186171610946	205	13729000	74
20220425 071411	0	0	0	1	auto	depthwise	256	0	1	0.010000537759209	0.457779685828401	10	15	0.0149887286223837	273	13521000	75
20220425 073831	0	0	0	1	auto	depthwise	256	0	1	0.0100247664907481	0.432110201418086	8	5	0.0160870076191375	516	13795000	76
20220425 074155	0	0	0	1	auto	depthwise	256	0	1	0.0553993055762568	0.392849881722269	9	2	0.0167140608874271	155	13344000	77
20220425 081001	0	0	0	1	auto	depthwise	256	0	1	0.0104954636047776	0.497095754028094	5	5	0.0166512429215213	557	13686000	78
20220425 083020	0	0	0	1	auto	depthwise	256	0	1	0.0203510929437656	0.737731021881686	5	10	0.00838255248828887	25	12773000	79
20220425 120437	0	0	0	1	auto	depthwise	256	0	1	0.0101886196890819	0.579093498732653	10	5	0.0168360768973253	599	13556000	80
20220425 130905	0	0	0	1	auto	depthwise	256	0	1	0.0137891181334249	0.903515145098232	6	13	0.0135517713450227	104	12956000	81
20220425 133627	0	0	0	1	auto	depthwise	256	0	1	0.0100515693112217	0.40742649974597	7	6	0.0156358327106835	404	13734000	82
20220425 141149	0	0	0	1	auto	depthwise	256	0	1	0.0103123646946958	0.228595732128018	7	23	0.0150525114614179	349	13389000	83
20220425 152144	0	0	0	1	auto	depthwise	256	0	1	0.0100546320108386	0.617189248750797	8	30	0.0138325930543079	211	13109000	84
20220425 191806	0	0	0	1	auto	depthwise	256	0	1	0.01012346609835	0.600639655820897	10	12	0.0119106263066802	207	13314000	85
20220425 192023	0	0	0	1	auto	depthwise	256	0	1	0.154498717718901	0.200297098317548	0	6	0.0083939880055622	27	11804000	86
20220425 204213	0	0	0	1	auto	depthwise	256	0	1	0.0100551710155163	0.999930786237293	10	15	0.012451006538335	199	13312000	87
20220425 215441	0	0	0	1	auto	depthwise	256	0	1	0.0101418429753654	0.652580995168326	10	29	0.00916589081831838	68	12427000	88
20220425 231201	0	0	0	1	auto	depthwise	256	0	1	0.0100882695216186	0.248160984520065	10	25	0.0150256322204491	358	13290000	89
20220426 000507	0	0	0	1	auto	depthwise	256	0	1	0.0102000427333901	0.371086843750473	6	5	0.0185188855380301	525	13471000	90
20220426 013151	0	0	0	1	auto	depthwise	256	0	1	0.0100698431538776	0.89961949256698	10	10	0.0152929054055262	243	13362000	91
20220426 022527	0	0	0	1	auto	depthwise	256	0	1	0.0160635010504997	0.200324767828803	6	30	0.0147153040537215	191	13152000	92
20220426 023642	0	0	0	1	auto	depthwise	256	0	1	0.0505780064793098	0.522717770844908	7	4	0.0156533170830055	165	13297000	93
20220426 032113	0	0	0	1	auto	depthwise	256	0	1	0.0102588603726072	0.580013083695434	8	6	0.0155767223775304	397	13641000	94
20220426 041042	0	0	0	1	auto	depthwise	256	0	1	0.0100545914429171	0.223042662391364	6	25	0.0138905437554342	248	13243000	95
20220426 051656	0	0	0	1	auto	depthwise	256	0	1	0.0100901705593421	0.402282496649881	10	23	0.0147469404077192	306	13460000	96
20220426 082429	0	0	0	1	auto	depthwise	256	0	1	0.0103078898111018	0.732210085645312	9	25	0.0152681548767171	444	13092000	97
20220426 102352	0	0	0	1	auto	depthwise	256	0	1	0.0105615240710704	0.225772779709444	5	6	0.0150005976732794	767	13457000	98
20220426 192748	0	0	0	1	auto	depthwise	256	0	1	0.0101347102284076	0.536462594371513	7	15	0.012829802657421	263	13281000	99
